,Compound,Date,Negative,Neutral,Positive,Tweets_ago,User,text
0,-0.7351,Mon Mar 12 00:11:04 +0000 2018,0.246,0.754,0.0,1,@CNN,"In politics today, ""everybody is feeding ... on the hysteria and the negativity. You've got to stay in the light,""… https://t.co/1MQ58opLIF"
1,0.0,Mon Mar 12 00:00:28 +0000 2018,0.0,1.0,0.0,2,@CNN,"The #VanJonesShow with @Oprah and @Ava starts now. Head there wherever you are: on TV, desktop, mobile devices, app… https://t.co/fmRPmzAzex"
2,0.4215,Sun Mar 11 23:58:43 +0000 2018,0.106,0.664,0.23,3,@CNN,"JUST IN: The White House unveils new gun and school safety proposals, including hardening security, background chec… https://t.co/iGHZT9nZAQ"
3,0.3612,Sun Mar 11 23:45:04 +0000 2018,0.0,0.821,0.179,4,@CNN,"Join CNN’s group in the #MarchMadness Bracket Challenge to see how you stack up against @wolfblitzer, @brookebcnn,… https://t.co/Mus3MoyUKl"
4,-0.1027,Sun Mar 11 23:30:15 +0000 2018,0.104,0.896,0.0,5,@CNN,President Trump hits EU on trade days after imposing new tariffs https://t.co/J9jZUVayuz https://t.co/lh6l1STK0q
5,0.7351,Sun Mar 11 23:15:07 +0000 2018,0.0,0.733,0.267,6,@CNN,Warren Buffett has promised $1 million a year for life to the Berkshire Hathaway employee who picks a perfect brack… https://t.co/e9QUrDgVAU
6,0.3612,Sun Mar 11 23:00:13 +0000 2018,0.0,0.884,0.116,7,@CNN,Are you ready for Oprah Winfrey? The countdown is on. Tune in for her interview with @VanJones68 on The… https://t.co/1e5VNibLMW
7,0.0,Sun Mar 11 22:45:06 +0000 2018,0.0,1.0,0.0,8,@CNN,Take a look at the week in politics https://t.co/8UCIFHzvaL https://t.co/nuQdD2Lo3Y
8,0.0258,Sun Mar 11 22:30:12 +0000 2018,0.086,0.823,0.091,9,@CNN,"""The fact that they were creating this national march to say, 'enough.' ... what it takes to risk that on a nationa… https://t.co/OZykI3r4cU"
9,0.0,Sun Mar 11 22:15:07 +0000 2018,0.0,1.0,0.0,10,@CNN,President Trump says the person he most wants to run against in 2020 is Oprah https://t.co/TThb2WDIm0 https://t.co/4yUB269pjG
10,0.2732,Sun Mar 11 22:00:37 +0000 2018,0.0,0.896,0.104,11,@CNN,You know their name. But how well do you know your Kennedy trivia? #TheKennedys premieres tonight at 9p. https://t.co/3YRwzmSy7U
11,-0.6486,Sun Mar 11 21:45:06 +0000 2018,0.249,0.751,0.0,12,@CNN,"In California, a 15-hour standoff that left 1 officer dead started with a car chase https://t.co/zrHSHjn8K2 https://t.co/ajJH4ADUMC"
12,0.0,Sun Mar 11 21:30:39 +0000 2018,0.0,1.0,0.0,13,@CNN,"""Do not spend all your time talking about your opponents."" Oprah has some advice for anyone who runs for president… https://t.co/YCsne8112s"
13,-0.25,Sun Mar 11 21:15:05 +0000 2018,0.2,0.8,0.0,14,@CNN,Socialism with Chinese characteristics? Beijing's propaganda explained https://t.co/Cx54QwIl0B https://t.co/E5YlfDmL6a
14,0.0,Sun Mar 11 21:00:13 +0000 2018,0.0,1.0,0.0,15,@CNN,Hong Kong elects new lawmakers as city faces decades of Xi Jinping rule https://t.co/3emq2iUe2y https://t.co/jYEBTnCOdj
15,-0.5106,Sun Mar 11 20:45:06 +0000 2018,0.381,0.619,0.0,16,@CNN,President Trump blames diplomatic shortages on Democrats https://t.co/ejID8n95K5 https://t.co/IgpNWHjcSO
16,0.3612,Sun Mar 11 20:30:07 +0000 2018,0.0,0.898,0.102,17,@CNN,"""I wake up in the morning, and the first thing I say is 'thank you,'"" Oprah Winfrey tells CNN's Van Jones. Watch he… https://t.co/nRcua0cyiR"
17,-0.6705,Sun Mar 11 20:15:09 +0000 2018,0.314,0.686,0.0,18,@CNN,"Sen. Mark Warner says the US is ""woefully unprepared"" for cyber threats https://t.co/KjebUo8zDU https://t.co/kD0Zb0Xy0q"
18,0.4939,Sun Mar 11 20:00:08 +0000 2018,0.0,0.849,0.151,19,@CNN,The section of a Baltimore park that once hosted Confederate monuments has been renamed in honor of abolitionist Ha… https://t.co/Fkaa1bx6qm
19,0.1027,Sun Mar 11 19:52:47 +0000 2018,0.119,0.743,0.139,20,@CNN,JUST IN: The White House is expected to unveil gun and school safety proposals Sunday https://t.co/h9ucmXTEwu https://t.co/zkpIB85soc
20,-0.3182,Sun Mar 11 19:45:06 +0000 2018,0.173,0.827,0.0,21,@CNN,"Victims of California veterans home shooting lived ""to serve others"" https://t.co/dMh3ZInjTJ https://t.co/kKBTBjUYJ6"
